,DrugID,Drug,PUTATIVE_TARGET,MOA,DRUG_SYNONYMS,SMILES,repurposing_target
0,1003,Camptothecin,TOP1,DNA replication,"Camptothecine, (+)-Camptothecin",CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,TOP1
1,1004,Vinblastine,Microtubule destabiliser,Mitosis,Velban,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,TUBB
2,1005,Cisplatin,DNA crosslinker,DNA replication,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",N.N.Cl[Pt]Cl,DNA
3,1006,Cytarabine,Antimetabolite,Other,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,DNA synthesis
4,1007,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere",CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,TUBB
5,1008,Methotrexate,Antimetabolite,DNA replication,"Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex",CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,DHFR
6,1009,Tretinoin,Retinoic acid,Other,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,"RARA,RARB,RARG"
7,1010,Gefitinib,EGFR,EGFR signaling,"ZD-1839, Iressa",COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,EGFR
8,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,"ABT-263, ABT263, ABT 263",CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,"BCL2,BCL2L1,BCL2L2"
9,1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,"HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10"
10,1013,Nilotinib,ABL,ABL signaling,"Tasigna, AMN 107",CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,ABL1
11,1014,Refametinib,"MEK1, MEK2",ERK MAPK signaling,"RDEA119, BAY-86-9766, BAY 869766",COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F,"MAP2K1,MAP2K2"
12,1016,Temsirolimus,MTOR,PI3K/MTOR signaling,"CCI-779, Torisel",C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,MTOR
13,1017,Olaparib,"PARP1, PARP2",Genome integrity,"AZD2281, KU0059436,  Lynparza",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,"PARP1,PARP2"
14,1018,Veliparib,"PARP1, PARP2",Genome integrity,"ABT-888, ABT888, ABT 888",C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,"PARP1,PARP2"
15,1019,Bosutinib,"SRC, ABL, TEC","Other, kinases","SKI-606, Bosulif",CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,"SRC,ABL1,TEC"
16,1020,Lenalidomide,CRBN,Protein stability and degradation,"CDC-501, CC-5013, Revlimid",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,CRBN
17,1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,"AG-13736, Inlyta",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,"PDGFRA,KIT,FLT1,KDR,FLT4"
18,1022,AZD7762,"CHEK1, CHEK2",Cell cycle,"AZD-7762, AZD 7762",C1C[C@@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,"CHEK1,CHEK2"
19,1023,GW441756,NTRK1,RTK signaling,GW 441756,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O,NTRK1
20,1024,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases","CEP-701, SP-924, SPM-924, A-154475, KT-555",C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,"FLT3,JAK2,NTRK1,NTRK2,NTRK3"
21,1025,SB216763,"GSK3A, GSK3B",WNT signaling,"SB-216763, SB 216763",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,"GSK3A,GSK3B"
22,1026,Tanespimycin,HSP90,Protein stability and degradation,"17-AAG, BMS-722782",C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,HSP90AA1
23,1029,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,"AMG-706, AMG 706, AMG706",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,"KDR,RET,KIT,PDGFRL"
24,1030,KU-55933,ATM,Genome integrity,KU55933,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,ATM
25,1031,Elesclomol,HSP90,Protein stability and degradation,STA-4783,CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2,HSP90AA1
26,1032,Afatinib,"EGFR, ERBB2",EGFR signaling,"BIBW2992, Tovok, Gilotrif",CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4,"EGFR,ERBB2"
27,1033,Vismodegib,SMO,Other,"GDC0449, Erivedge",CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,SMO
28,1034,Staurosporine,Broad spectrum kinase inhibitor,RTK signaling,-,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,RTK
29,1036,PLX-4720,BRAF,ERK MAPK signaling,"PLX4720, PLX 4720",CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,BRAF
30,1037,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",BX-795,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,"TBK1,PDPK1,IKBKB,AURKB,AURKC"
31,1038,NU7441,DNAPK,Genome integrity,"KU-57788, NU-7432, NU-7741",C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56,PRKDC
32,1039,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases","SL-0101, SL 0101-1",C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,"RPS6KA1,AURKB,PIM1,PIM3"
33,1042,Doramapimod,"p38, JNK2",JNK and p38 signaling,"BIRB-796, BIRB 796",CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,"MAPK14,MAPK9"
34,1043,JNK Inhibitor VIII,JNK,JNK and p38 signaling,-,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,"MAPK8,MAPK9,MAPK10"
35,1046,Wee1 Inhibitor,"WEE1, CHEK1",Cell cycle,"681640, Wee1 Inhibitor",C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl,"WEE1,CHEK1"
36,1047,Nutlin-3a (-),MDM2,p53 pathway,-,CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,MDM2
37,1048,Mirin,MRE11,Genome integrity,-,C1=CC(=CC=C1/C=C\2/C(=O)NC(=N)S2)O,MRE11
38,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,"PD-173074, PD 173074",CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,"FGFR1,FGFR2,FGFR3"
39,1050,ZM447439,"AURKA, AURKB",Mitosis,"ZM-447439, ZM 447439",COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,"AURKA,AURKB"
40,1051,Alisertib,AURKA,Mitosis,MLN8237,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,AURKA
41,1052,RO-3306,CDK1,Cell cycle,-,C1=CC2=C(C=CC(=C2)/C=C\3/C(=O)NC(=NCC4=CC=CS4)S3)N=C1,CDK1
42,1053,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,"MK 2206, MK2206",C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,"AKT1,AKT2"
43,1054,Palbociclib,"CDK4, CDK6",Cell cycle,"PD0332991, PD-0332991, PF-00080665-73",CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,"CDK4,CDK6"
44,1057,Dactolisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,"NVP-BEZ235, BEZ235",CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,"PIK3CA,MTOR"
45,1058,Pictilisib,PI3K (class 1),PI3K/MTOR signaling,"GDC-0941, GDC0941, RG-7621",CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,"PIK3CA,MTOR"
46,1059,AZD8055,"MTORC1, MTORC2",PI3K/MTOR signaling,AZD-8055,C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@@H]5C,MTOR
47,1060,PD0325901,"MEK1, MEK2",ERK MAPK signaling,"PD-0325901, PD 0325901",C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O,"MAP2K1,MAP2K2"
48,1061,SB590885,BRAF,ERK MAPK signaling,SB-590885,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)/C(=N/O)/CC5,BRAF
49,1062,Selumetinib,"MEK1, MEK2",ERK MAPK signaling,"AZD6244, AZD-6244, ARRY-886",CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,"MAP2K1,MAP2K2"
50,1067,CCT007093,PPM1D,Cell cycle,-,C1/C(=C\C2=CC=CS2)/C(=O)/C(=C/C3=CC=CS3)/C1,PPM1D
51,1068,Obatoclax Mesylate,"BCL2, BCL-XL, BCL-W, MCL1",Apoptosis regulation,"GX15-070MS, Obatoclax, GX15-070",CC1=CC(=C(N1)/C=C\2/C(=C/C(=C/3\C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O,"BCL2,BCL2L1,BCL2L2,MCL1"
52,1069,EHT-1864,"RAC1, RAC2, RAC3",Cytoskeleton,EHT 1864,C1COCCN1CC2=CC(=O)C(=CO2)OCCCCCSC3=C4C=CC(=CC4=NC=C3)C(F)(F)F.Cl.Cl,"RAC1,RAC2,RAC3"
53,1072,Avagacestat,"Amyloid beta20, Amyloid beta40",Other,"BMS-708163, BMS 708163",C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)[C@H](CCC(F)(F)F)C(=O)N)Cl,APP
54,1073,5-Fluorouracil,Antimetabolite (DNA & RNA),Other,5-FU,C1=C(C(=O)NC(=O)N1)F,"TYMS,DPYD"
55,1079,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases","BMS-354825-03, BMS-354825, Sprycel",CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,"ABL1,SRC,EPHA1,PDGFRA,KIT"
56,1080,Paclitaxel,Microtubule stabiliser,Mitosis,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane",CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,TUBB
57,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,"Xalkori, PF2341066, PF-2341066, PF 2341066",C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,"MET,ALK,ROS1"
58,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,MTOR
59,1085,Sorafenib,"PDGFR, KIT, VEGFR, RAF","Other, kinases","Nexavar, 284461-73-0, BAY 43-9006",CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,"PDGFRA,KIT,VEGFA,RAF1"
60,1086,BI-2536,"PLK1, PLK2, PLK3",Cell cycle,-,CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,"PLK1,PLK2,PLK3"
61,1088,Irinotecan,TOP1,DNA replication,"Camptosar, (+)-Irinotecan, Irinotecanum, irinotecan hydrochloride",CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,TOP1
62,1089,Oxaliplatin,DNA alkylating agent,DNA replication,Eloxatin,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],DNA
63,1091,BMS-536924,"IGF1R, IR",IGF1R signaling,BMS 536924,CC1=CC(=CC2=C1N=C(N2)C3=C(C=CNC3=O)NC[C@H](C4=CC(=CC=C4)Cl)O)N5CCOCC5,"IGF1R,INSR"
64,1093,GSK1904529A,"IGF1R, IR",IGF1R signaling,"GSK-1904529A, GSK 1904529A",CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F,"IGF1R,IR"
65,1096,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,"AURKA,AURKB,AURKC"
66,1129,PF-4708671,S6K1,PI3K/MTOR signaling,"PF 4708671, PF4708671",CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,RPS6KB1
67,1131,PRIMA-1MET,TP53 activation,p53 pathway,"Prima 1MET, APR-246",COCC1(C(=O)C2CCN1CC2)CO,TP53
68,1133,Serdemetan,MDM2,p53 pathway,JNJ-26854165,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,MDM2
69,1149,TW 37,"BCL2, BCL-XL, MCL1",Apoptosis regulation,"TW37, TW-37",CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C,"BCL2,BCL2L1,MCL1"
70,1168,Erlotinib,EGFR,EGFR signaling,"Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415",COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,EGFR
71,1170,CCT-018159,HSP90,Protein stability and degradation,"CCT018159, CCT 018159",CCC1=CC(=C(C=C1O)O)C2=NNC(=C2C3=CC4=C(C=C3)OCCO4)C,HSP90AA1
72,1175,Rucaparib,"PARP1, PARP2",Genome integrity,"PF-01367338, AG-014699, AG-14447, AG-14699",CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2,"PARP1,PARP2"
73,1177,Niraparib,"PARP1, PARP2",Genome integrity,"MK-4827, MK4827",C1C[C@H](CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,"PARP1,PARP2"
74,1179,MK-1775,"WEE1, PLK1",Cell cycle,"AZD1775, Adavosertib",CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,"WEE1,PLK1"
75,1180,Dinaciclib,"CDK1, CDK2, CDK5, CDK9",Cell cycle,"SCH727965, SCH 727965, SCH-727-965, MK-7965",CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC[C@H]4CCO,"CDK1,CDK2,CDK5,CDK9"
76,1190,Gemcitabine,Pyrimidine antimetabolite,DNA replication,"Gemzar, LY-188011",C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,"RRM1,RRM2"
77,1191,Bortezomib,Proteasome,Protein stability and degradation,"PS-341, LDP-341, Velcade",B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,PSMB5
78,1192,GSK269962A,"ROCK1, ROCK2",Cytoskeleton,GSK 269962A,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,"ROCK1,ROCK2"
